file_name,corpus,model_name,model_size,prompt,vocab,mean,sd,vocab_size,total_words,alpha,beta,singleton_count,r
book2_pythia-1b_fewshotopen.json,book2,pythia,1b,fewshot,open,223.63,11.71,49889,13417804,10.0853,0.518,25289,0.999882747
book2_pythia-1b_fewshotopen.json,book2,pythia,1b,fewshot,open,223.63,11.71,49889,13417804,9.9091,0.5193,25289,0.999710661
book2_pythia-1b_fewshotopen.json,book2,pythia,1b,fewshot,open,223.63,11.71,49889,13417804,10.5138,0.5154,25289,0.999847714
book2_pythia-2.8b_zeroshotopen.json,book2,pythia,2.8b,zeroshot,open,180.91,76.22,59766,10854441,6.3254,0.5648,32932,0.999909986
book2_pythia-2.8b_zeroshotopen.json,book2,pythia,2.8b,zeroshot,open,180.91,76.22,59766,10854441,6.5618,0.5622,32932,0.999755033
book2_pythia-2.8b_zeroshotopen.json,book2,pythia,2.8b,zeroshot,open,180.91,76.22,59766,10854441,5.2405,0.5762,32932,0.99959606
book2_gptneo-125m_zeroshotclosed.json,book2,gptneo,125m,zeroshot,closed,145.14,52.64,18407,8708427,68.9398,0.3502,5617,0.999119422
book2_gptneo-125m_zeroshotclosed.json,book2,gptneo,125m,zeroshot,closed,145.14,52.64,18407,8708427,62.2506,0.3566,5617,0.999414942
book2_gptneo-125m_zeroshotclosed.json,book2,gptneo,125m,zeroshot,closed,145.14,52.64,18407,8708427,63.1292,0.3556,5617,0.999383475
pubmed_pythia-70m_fewshotopen.json,pubmed,pythia,70m,fewshot,open,197.67,39.56,159283,11859970,3.6731,0.6552,81753,0.99967032
pubmed_pythia-70m_fewshotopen.json,pubmed,pythia,70m,fewshot,open,197.67,39.56,159283,11859970,4.37,0.6445,81753,0.999725784
pubmed_pythia-70m_fewshotopen.json,pubmed,pythia,70m,fewshot,open,197.67,39.56,159283,11859970,4.1432,0.6477,81753,0.999698759
book2_pythia-1.4b_fewshotclosed.json,book2,pythia,1.4b,fewshot,closed,166.54,29.34,43180,9992613,229.3743,0.326,9472,0.995560902
book2_pythia-1.4b_fewshotclosed.json,book2,pythia,1.4b,fewshot,closed,166.54,29.34,43180,9992613,230.1672,0.326,9472,0.994894104
book2_pythia-1.4b_fewshotclosed.json,book2,pythia,1.4b,fewshot,closed,166.54,29.34,43180,9992613,232.6384,0.3252,9472,0.994864346
pubmed_pythia-2.8b_oneshotopen.json,pubmed,pythia,2.8b,oneshot,open,163.4,77.08,81555,9803820,10.9463,0.5536,31572,0.999868718
pubmed_pythia-2.8b_oneshotopen.json,pubmed,pythia,2.8b,oneshot,open,163.4,77.08,81555,9803820,11.7093,0.5495,31572,0.999954109
pubmed_pythia-2.8b_oneshotopen.json,pubmed,pythia,2.8b,oneshot,open,163.4,77.08,81555,9803820,11.6104,0.5501,31572,0.999913707
hn_pythia-1.4b_fewshotopen.json,hn,pythia,1.4b,fewshot,open,191.03,45.37,253874,11461606,1.5381,0.7388,169933,0.999743232
hn_pythia-1.4b_fewshotopen.json,hn,pythia,1.4b,fewshot,open,191.03,45.37,253874,11461606,1.6744,0.7336,169933,0.999863664
hn_pythia-1.4b_fewshotopen.json,hn,pythia,1.4b,fewshot,open,191.03,45.37,253874,11461606,1.609,0.7359,169933,0.999847871
pubmed_gptneo-125m_oneshotclosed.json,pubmed,gptneo,125m,oneshot,closed,80.26,56.99,22453,4815404,206.606,0.3054,5114,0.9980208
